"Код заказа","Клиент","Сотрудник","Дата размещения","Дата назначения","Дата исполнения","Доставка","Стоимость доставки","Получатель","Адрес получателя","Город получателя","Область получателя","Индекс получателя","Страна получателя"
10530,"Piccolo und mehr","Бабкина, Ольга",08-05-1997,05-06-1997,12-05-1997,"Почта","339,22р.","Piccolo und mehr","Geislweg 14","Зальцбург",,"5020","Австрия"
10531,"Oceano Atlantico Ltda.","Кралев, Петр",08-05-1997,05-06-1997,19-05-1997,"Ространс","8,12р.","Oceano Atlantico Ltda.","Ing. Gustavo Moncada 8585
Piso 20-A","Буэнос-Айрес",,"1010","Аргентина"
10532,"Eastern Connection","Кралев, Петр",09-05-1997,06-06-1997,12-05-1997,"Иное","74,46р.","Eastern Connection","35 King George","Лондон",,"WX3 6FW","Великобритания"
10533,"Folk och fa HB","Крылова, Анна",12-05-1997,09-06-1997,22-05-1997,"Ространс","188,04р.","Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10534,"Lehmanns Marktstand","Крылова, Анна",12-05-1997,09-06-1997,14-05-1997,"Почта","27,94р.","Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10535,"Antonio Moreno Taqueria","Воронова, Дарья",13-05-1997,10-06-1997,21-05-1997,"Ространс","15,64р.","Antonio Moreno Taqueria","Mataderos  2312","Мехико",,"05023","Мексика"
10536,"Lehmanns Marktstand","Бабкина, Ольга",14-05-1997,11-06-1997,06-06-1997,"Почта","58,88р.","Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10537,"Richter Supermarkt","Белова, Мария",14-05-1997,28-05-1997,19-05-1997,"Ространс","78,85р.","Richter Supermarkt","Starenweg 5","Женева",,"1204","Швейцария"
10538,"B's Beverages","Ясенева, Инна",15-05-1997,12-06-1997,16-05-1997,"Иное","4,87р.","B's Beverages","Fauntleroy Circus","Лондон",,"EC2 5NT","Великобритания"
10539,"B's Beverages","Акбаев, Иван",16-05-1997,13-06-1997,23-05-1997,"Иное","12,36р.","B's Beverages","Fauntleroy Circus","Лондон",,"EC2 5NT","Великобритания"
10540,"QUICK-Stop","Бабкина, Ольга",19-05-1997,16-06-1997,13-06-1997,"Иное","1 007,64р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10541,"Hanari Carnes","Новиков, Павел",19-05-1997,16-06-1997,29-05-1997,"Ространс","68,65р.","Hanari Carnes","Rua do Paco, 67","Рио-де-Жанейро","RJ","05454-876","Бразилия"
10542,"Koniglich Essen","Белова, Мария",20-05-1997,17-06-1997,26-05-1997,"Иное","10,95р.","Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10543,"LILA-Supermercado","Крылова, Анна",21-05-1997,18-06-1997,23-05-1997,"Почта","48,17р.","LILA-Supermercado","Carrera 52 con Ave. Bolivar #65-98 Llano Largo","Баркисимето","Lara","3508","Венесуэлла"
10544,"Lonesome Pine Restaurant","Воронова, Дарья",21-05-1997,18-06-1997,30-05-1997,"Ространс","24,91р.","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Портленд","OR","97219","США"
10545,"Lazy K Kountry Store","Крылова, Анна",22-05-1997,19-06-1997,26-06-1997,"Почта","11,92р.","Lazy K Kountry Store","12 Orchestra Terrace","Уолла-Уолла","WA","99362","США"
10546,"Victuailles en stock","Белова, Мария",23-05-1997,20-06-1997,27-05-1997,"Иное","194,72р.","Victuailles en stock","2, rue du Commerce","Лион",,"69004","Франция"
10547,"Seven Seas Imports","Бабкина, Ольга",23-05-1997,20-06-1997,02-06-1997,"Почта","178,43р.","Seven Seas Imports","90 Wadhurst Rd.","Лондон",,"OX15 4NB","Великобритания"
10548,"Toms Spezialitaten","Бабкина, Ольга",26-05-1997,23-06-1997,02-06-1997,"Почта","1,43р.","Toms Spezialitaten","Luisenstr. 48","Мюнстер",,"44087","Германия"
10549,"QUICK-Stop","Кротов, Андрей",27-05-1997,10-06-1997,30-05-1997,"Ространс","171,24р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10550,"Godos Cocina Tipica","Кралев, Петр",28-05-1997,25-06-1997,06-06-1997,"Иное","4,32р.","Godos Cocina Tipica","C/ Romero, 33","Севилья",,"41101","Испания"
10551,"Furia Bacalhau e Frutos do Mar","Воронова, Дарья",28-05-1997,09-07-1997,06-06-1997,"Иное","72,95р.","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10552,"HILARION-Abastos","Новиков, Павел",29-05-1997,26-06-1997,05-06-1997,"Ространс","83,22р.","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10553,"Wartian Herkku","Новиков, Павел",30-05-1997,27-06-1997,03-06-1997,"Почта","149,49р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10554,"Ottilies Kaseladen","Воронова, Дарья",30-05-1997,27-06-1997,05-06-1997,"Иное","120,97р.","Ottilies Kaseladen","Mehrheimerstr. 369","Кельн",,"50739","Германия"
10555,"Save-a-lot Markets","Акбаев, Иван",02-06-1997,30-06-1997,04-06-1997,"Иное","252,49р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10556,"Simons bistro","Новиков, Павел",03-06-1997,15-07-1997,13-06-1997,"Ространс","9,80р.","Simons bistro","Vinbaeltet 34","Копенгаген",,"1734","Дания"
10557,"Lehmanns Marktstand","Ясенева, Инна",03-06-1997,17-06-1997,06-06-1997,"Почта","96,72р.","Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10558,"Around the Horn","Белова, Мария",04-06-1997,02-07-1997,10-06-1997,"Почта","72,97р.","Around the Horn","Brook Farm
Stratford St. Mary","Колчестер","Essex","CO7 6JX","Великобритания"
10559,"Blondel pere et fils","Акбаев, Иван",05-06-1997,03-07-1997,13-06-1997,"Ространс","8,05р.","Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10560,"Frankenversand","Крылова, Анна",06-06-1997,04-07-1997,09-06-1997,"Ространс","36,65р.","Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10561,"Folk och fa HB","Новиков, Павел",06-06-1997,04-07-1997,09-06-1997,"Почта","242,21р.","Folk och fa HB","Lkergatan 24","Брекке",,"S-844 67","Швеция"
10562,"Reggiani Caseifici","Белова, Мария",09-06-1997,07-07-1997,12-06-1997,"Ространс","22,95р.","Reggiani Caseifici","Strada Provinciale 124","Реджио-Эмилио",,"42100","Италия"
10563,"Ricardo Adocicados","Новиков, Павел",10-06-1997,22-07-1997,24-06-1997,"Почта","60,43р.","Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10564,"Rattlesnake Canyon Grocery","Воронова, Дарья",10-06-1997,08-07-1997,16-06-1997,"Иное","13,75р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10565,"Mere Paillarde","Крылова, Анна",11-06-1997,09-07-1997,18-06-1997,"Почта","7,15р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10566,"Blondel pere et fils","Ясенева, Инна",12-06-1997,10-07-1997,18-06-1997,"Ространс","88,40р.","Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10567,"Hungry Owl All-Night Grocers","Белова, Мария",12-06-1997,10-07-1997,17-06-1997,"Ространс","33,97р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10568,"Galeria del gastrуnomo","Бабкина, Ольга",13-06-1997,11-07-1997,09-07-1997,"Иное","6,54р.","Galeria del gastronomo","Rambla de Cataluna, 23","Барселона",,"8022","Испания"
10569,"Rattlesnake Canyon Grocery","Кротов, Андрей",16-06-1997,14-07-1997,11-07-1997,"Ространс","58,98р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10570,"Mere Paillarde","Бабкина, Ольга",17-06-1997,15-07-1997,19-06-1997,"Иное","188,99р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10571,"Ernst Handel","Крылова, Анна",17-06-1997,29-07-1997,04-07-1997,"Иное","26,06р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10572,"Berglunds snabbkop","Бабкина, Ольга",18-06-1997,16-07-1997,25-06-1997,"Почта","116,43р.","Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10573,"Antonio Moreno Taqueria","Кралев, Петр",19-06-1997,17-07-1997,20-06-1997,"Иное","84,84р.","Antonio Moreno Taqueria","Mataderos  2312","Мехико",,"05023","Мексика"
10574,"Trail's Head Gourmet Provisioners","Воронова, Дарья",19-06-1997,17-07-1997,30-06-1997,"Почта","37,60р.","Trail's Head Gourmet Provisioners","722 DaVinci Blvd.","Керкленд","WA","98034","США"
10575,"Morgenstern Gesundkost","Кротов, Андрей",20-06-1997,04-07-1997,30-06-1997,"Ространс","127,34р.","Morgenstern Gesundkost","Heerstr. 22","Лейпциг",,"04179","Германия"
10576,"Tortuga Restaurante","Бабкина, Ольга",23-06-1997,07-07-1997,30-06-1997,"Иное","18,56р.","Tortuga Restaurante","Avda. Azteca 123","Мехико",,"05033","Мексика"
10577,"Trail's Head Gourmet Provisioners","Ясенева, Инна",23-06-1997,04-08-1997,30-06-1997,"Почта","25,41р.","Trail's Head Gourmet Provisioners","722 DaVinci Blvd.","Керкленд","WA","98034","США"
10578,"B's Beverages","Воронова, Дарья",24-06-1997,22-07-1997,25-07-1997,"Иное","29,60р.","B's Beverages","Fauntleroy Circus","Лондон",,"EC2 5NT","Великобритания"
10579,"Let's Stop N Shop","Белова, Мария",25-06-1997,23-07-1997,04-07-1997,"Почта","13,73р.","Let's Stop N Shop","87 Polk St.
Suite 5","Сан-Франциско","CA","94117","США"
10580,"Ottilies Kaseladen","Воронова, Дарья",26-06-1997,24-07-1997,01-07-1997,"Иное","75,89р.","Ottilies Kaseladen","Mehrheimerstr. 369","Кельн",,"50739","Германия"
10581,"Familia Arquibaldo","Бабкина, Ольга",26-06-1997,24-07-1997,02-07-1997,"Ространс","3,01р.","Familia Arquibaldo","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия"
10582,"Blauer See Delikatessen","Бабкина, Ольга",27-06-1997,25-07-1997,14-07-1997,"Почта","27,71р.","Blauer See Delikatessen","Forsterstr. 57","Мангейм",,"68306","Германия"
10583,"Wartian Herkku","Новиков, Павел",30-06-1997,28-07-1997,04-07-1997,"Почта","7,28р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10584,"Blondel pere et fils","Воронова, Дарья",30-06-1997,28-07-1997,04-07-1997,"Ространс","59,14р.","Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10585,"Wellington Importadora","Кралев, Петр",01-07-1997,29-07-1997,10-07-1997,"Ространс","13,41р.","Wellington Importadora","Rua do Mercado, 12","Ресенде","SP","08737-363","Бразилия"
10586,"Reggiani Caseifici","Ясенева, Инна",02-07-1997,30-07-1997,09-07-1997,"Ространс","0,48р.","Reggiani Caseifici","Strada Provinciale 124","Реджио-Эмилио",,"42100","Италия"
10587,"Que Delicia","Белова, Мария",02-07-1997,30-07-1997,09-07-1997,"Ространс","62,52р.","Que Delicia","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия"
10588,"QUICK-Stop","Новиков, Павел",03-07-1997,31-07-1997,10-07-1997,"Иное","194,67р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10589,"Great Lakes Food Market","Крылова, Анна",04-07-1997,01-08-1997,14-07-1997,"Почта","4,42р.","Great Lakes Food Market","2732 Baker Blvd.","Юджин","OR","97403","США"
10590,"Mere Paillarde","Воронова, Дарья",07-07-1997,04-08-1997,14-07-1997,"Иное","44,77р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10591,"Vaffeljernet","Белова, Мария",07-07-1997,21-07-1997,16-07-1997,"Ространс","55,92р.","Vaffeljernet","Smagsloget 45","Орхус",,"8200","Дания"
10592,"Lehmanns Marktstand","Бабкина, Ольга",08-07-1997,05-08-1997,16-07-1997,"Ространс","32,10р.","Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10593,"Lehmanns Marktstand","Кралев, Петр",09-07-1997,06-08-1997,13-08-1997,"Почта","174,20р.","Lehmanns Marktstand","Magazinweg 7","Франкфурт",,"60528","Германия"
10594,"Old World Delicatessen","Бабкина, Ольга",09-07-1997,06-08-1997,16-07-1997,"Почта","5,24р.","Old World Delicatessen","2743 Bering St.","Анкоридж","AK","99508","США"
10595,"Ernst Handel","Новиков, Павел",10-07-1997,07-08-1997,14-07-1997,"Ространс","96,78р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10596,"White Clover Markets","Крылова, Анна",11-07-1997,08-08-1997,12-08-1997,"Ространс","16,34р.","White Clover Markets","1029 - 12th Ave. S.","Сиэтл","WA","98124","США"
10597,"Piccolo und mehr","Кралев, Петр",11-07-1997,08-08-1997,18-07-1997,"Иное","35,12р.","Piccolo und mehr","Geislweg 14","Зальцбург",,"5020","Австрия"
10598,"Rattlesnake Canyon Grocery","Белова, Мария",14-07-1997,11-08-1997,18-07-1997,"Иное","44,42р.","Rattlesnake Canyon Grocery","2817 Milton Dr.","Альбукерке","NM","87110","США"
10599,"B's Beverages","Акбаев, Иван",15-07-1997,26-08-1997,21-07-1997,"Иное","29,98р.","B's Beverages","Fauntleroy Circus","Лондон",,"EC2 5NT","Великобритания"
10600,"Hungry Coyote Import Store","Воронова, Дарья",16-07-1997,13-08-1997,21-07-1997,"Ространс","45,13р.","Hungry Coyote Import Store","City Center Plaza
516 Main St.","Элгин","OR","97827","США"
10601,"HILARION-Abastos","Кралев, Петр",16-07-1997,27-08-1997,22-07-1997,"Ространс","58,30р.","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10602,"Vaffeljernet","Крылова, Анна",17-07-1997,14-08-1997,22-07-1997,"Почта","2,92р.","Vaffeljernet","Smagsloget 45","Орхус",,"8200","Дания"
10603,"Save-a-lot Markets","Крылова, Анна",18-07-1997,15-08-1997,08-08-1997,"Почта","48,77р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10604,"Furia Bacalhau e Frutos do Mar","Белова, Мария",18-07-1997,15-08-1997,29-07-1997,"Ространс","7,46р.","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10605,"Mere Paillarde","Белова, Мария",21-07-1997,18-08-1997,29-07-1997,"Почта","379,13р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10606,"Tradiero Hipermercados","Воронова, Дарья",22-07-1997,19-08-1997,31-07-1997,"Иное","79,40р.","Tradicao Hipermercados","Av. Ines de Castro, 414","Сан-Пауло","SP","05634-030","Бразилия"
10607,"Save-a-lot Markets","Кротов, Андрей",22-07-1997,19-08-1997,25-07-1997,"Ространс","200,24р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10608,"Toms Spezialitaten","Воронова, Дарья",23-07-1997,20-08-1997,01-08-1997,"Почта","27,79р.","Toms Spezialitaten","Luisenstr. 48","Мюнстер",,"44087","Германия"
10609,"Du monde entier","Кралев, Петр",24-07-1997,21-08-1997,30-07-1997,"Почта","1,85р.","Du monde entier","67, rue des Cinquante Otages","Нант",,"44000","Франция"
10610,"La maison d'Asie","Крылова, Анна",25-07-1997,22-08-1997,06-08-1997,"Ространс","26,78р.","La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10611,"Wolski  Zajazd","Акбаев, Иван",25-07-1997,22-08-1997,01-08-1997,"Почта","80,65р.","Wolski Zajazd","ul. Filtrowa 68","Варшава",,"01-012","Польша"
10612,"Save-a-lot Markets","Белова, Мария",28-07-1997,25-08-1997,01-08-1997,"Почта","544,08р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10613,"HILARION-Abastos","Воронова, Дарья",29-07-1997,26-08-1997,01-08-1997,"Почта","8,11р.","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10614,"Blauer See Delikatessen","Крылова, Анна",29-07-1997,26-08-1997,01-08-1997,"Иное","1,93р.","Blauer See Delikatessen","Forsterstr. 57","Мангейм",,"68306","Германия"
10615,"Wilman Kala","Новиков, Павел",30-07-1997,27-08-1997,06-08-1997,"Иное","0,75р.","Wilman Kala","Keskuskatu 45","Хельсинки",,"21240","Финляндия"
10616,"Great Lakes Food Market","Белова, Мария",31-07-1997,28-08-1997,05-08-1997,"Почта","116,53р.","Great Lakes Food Market","2732 Baker Blvd.","Юджин","OR","97403","США"
10617,"Great Lakes Food Market","Воронова, Дарья",31-07-1997,28-08-1997,04-08-1997,"Почта","18,53р.","Great Lakes Food Market","2732 Baker Blvd.","Юджин","OR","97403","США"
10618,"Mere Paillarde","Белова, Мария",01-08-1997,12-09-1997,08-08-1997,"Ространс","154,68р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10619,"Mere Paillarde","Бабкина, Ольга",04-08-1997,01-09-1997,07-08-1997,"Иное","91,05р.","Mere Paillarde","43 rue St. Laurent","Монреаль","Quebec","H1J 1C3","Канада"
10620,"Laughing Bacchus Wine Cellars","Новиков, Павел",05-08-1997,02-09-1997,14-08-1997,"Иное","0,94р.","Laughing Bacchus Wine Cellars","2319 Elm St.","Ванкувер","BC","V3F 2K1","Канада"
10621,"Island Trading","Воронова, Дарья",05-08-1997,02-09-1997,11-08-1997,"Почта","23,73р.","Island Trading","Garden House
Crowther Way","Cowes","Isle of White","PO31 7PJ","Великобритания"
10622,"Ricardo Adocicados","Воронова, Дарья",06-08-1997,03-09-1997,11-08-1997,"Иное","50,97р.","Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10623,"Frankenversand","Крылова, Анна",07-08-1997,04-09-1997,12-08-1997,"Почта","97,18р.","Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10624,"The Cracker Box","Воронова, Дарья",07-08-1997,04-09-1997,19-08-1997,"Почта","94,80р.","The Cracker Box","55 Grizzly Peak Rd.","Бут","MT","59801","США"
10625,"Ana Trujillo Emparelados","Бабкина, Ольга",08-08-1997,05-09-1997,14-08-1997,"Ространс","43,90р.","Ana Trujillo Emparedados y helados","Avda. de la Constitucion 2222","Мехико",,"05021","Мексика"
10626,"Berglunds snabbkop","Белова, Мария",11-08-1997,08-09-1997,20-08-1997,"Почта","138,69р.","Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10627,"Save-a-lot Markets","Крылова, Анна",11-08-1997,22-09-1997,21-08-1997,"Иное","107,46р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10628,"Blondel pere et fils","Воронова, Дарья",12-08-1997,09-09-1997,20-08-1997,"Иное","30,36р.","Blondel pere et fils","24, place Kleber","Страсбург",,"67000","Франция"
10629,"Godos Cocina Tipica","Воронова, Дарья",12-08-1997,09-09-1997,20-08-1997,"Иное","85,46р.","Godos Cocina Tipica","C/ Romero, 33","Севилья",,"41101","Испания"
10630,"Koniglich Essen","Белова, Мария",13-08-1997,10-09-1997,19-08-1997,"Почта","32,35р.","Koniglich Essen","Maubelstr. 90","Бранденбург",,"14776","Германия"
10631,"La maison d'Asie","Крылова, Анна",14-08-1997,11-09-1997,15-08-1997,"Ространс","0,87р.","La maison d'Asie","1 rue Alsace-Lorraine","Тулуза",,"31000","Франция"
10632,"Die Wandernde Kuh","Крылова, Анна",14-08-1997,11-09-1997,19-08-1997,"Ространс","41,38р.","Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10633,"Ernst Handel","Кралев, Петр",15-08-1997,12-09-1997,18-08-1997,"Иное","477,90р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10634,"Folies gourmandes","Воронова, Дарья",15-08-1997,12-09-1997,21-08-1997,"Иное","487,38р.","Folies gourmandes","184, chaussee de Tournai","Лилль",,"59000","Франция"
10635,"Magazzini Alimentari Riuniti","Крылова, Анна",18-08-1997,15-09-1997,21-08-1997,"Иное","47,46р.","Magazzini Alimentari Riuniti","Via Ludovico il Moro 22","Бергамо",,"24100","Италия"
10636,"Wartian Herkku","Воронова, Дарья",19-08-1997,16-09-1997,26-08-1997,"Ространс","1,15р.","Wartian Herkku","Torikatu 38","Оулу",,"90110","Финляндия"
10637,"Queen Cozinha","Акбаев, Иван",19-08-1997,16-09-1997,26-08-1997,"Ространс","201,29р.","Queen Cozinha","Alameda dos Canarios, 891","Сан-Пауло","SP","05487-020","Бразилия"
10638,"LINO-Delicateses","Бабкина, Ольга",20-08-1997,17-09-1997,01-09-1997,"Ространс","158,44р.","LINO-Delicateses","Ave. 5 de Mayo Porlamar","О-в Маргариты","Nueva Esparta","4980","Венесуэлла"
10639,"Santu Gourmet","Кралев, Петр",20-08-1997,17-09-1997,27-08-1997,"Иное","38,64р.","Sante Gourmet","Erling Skakkes gate 78","Ставерен",,"4110","Норвегия"
10640,"Die Wandernde Kuh","Воронова, Дарья",21-08-1997,18-09-1997,28-08-1997,"Ространс","23,55р.","Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10641,"HILARION-Abastos","Воронова, Дарья",22-08-1997,19-09-1997,26-08-1997,"Почта","179,61р.","HILARION-Abastos","Carrera 22 con Ave. Carlos Soublette #8-35","Сан-Кристобаль","Tochira","5022","Венесуэлла"
10642,"Simons bistro","Кралев, Петр",22-08-1997,19-09-1997,05-09-1997,"Иное","41,89р.","Simons bistro","Vinbaeltet 34","Копенгаген",,"1734","Дания"
10643,"Blauer See Delikatessen","Акбаев, Иван",25-08-1997,22-09-1997,02-09-1997,"Ространс","29,46р.","ТОО ""Мертвые души""","Тверская 13","Москва",,"111111","Россия"
10644,"Wellington Importadora","Бабкина, Ольга",25-08-1997,22-09-1997,01-09-1997,"Почта","0,14р.","Wellington Importadora","Rua do Mercado, 12","Ресенде","SP","08737-363","Бразилия"
10645,"Hanari Carnes","Воронова, Дарья",26-08-1997,23-09-1997,02-09-1997,"Ространс","12,41р.","Hanari Carnes","Rua do Paco, 67","Рио-де-Жанейро","RJ","05454-876","Бразилия"
10646,"Hungry Owl All-Night Grocers","Ясенева, Инна",27-08-1997,08-10-1997,03-09-1997,"Иное","142,33р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10647,"Que Delicia","Воронова, Дарья",27-08-1997,10-09-1997,03-09-1997,"Почта","45,54р.","Que Delicia","Rua da Panificadora, 12","Рио-де-Жанейро","RJ","02389-673","Бразилия"
10648,"Ricardo Adocicados","Кротов, Андрей",28-08-1997,09-10-1997,09-09-1997,"Почта","14,25р.","Ricardo Adocicados","Av. Copacabana, 267","Рио-де-Жанейро","RJ","02389-890","Бразилия"
10649,"Maison Dewey","Кротов, Андрей",28-08-1997,25-09-1997,29-08-1997,"Иное","6,20р.","Maison Dewey","Rue Joseph-Bens 532","Брюссель",,"B-1180","Бельгия"
10650,"Familia Arquibaldo","Кротов, Андрей",29-08-1997,26-09-1997,03-09-1997,"Иное","176,81р.","Familia Arquibaldo","Rua Oros, 92","Сан-Пауло","SP","05442-030","Бразилия"
10651,"Die Wandernde Kuh","Крылова, Анна",01-09-1997,29-09-1997,11-09-1997,"Почта","20,60р.","Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10652,"Gourmet Lanchonetes","Воронова, Дарья",01-09-1997,29-09-1997,08-09-1997,"Почта","7,14р.","Gourmet Lanchonetes","Av. Brasil, 442","Кампинас","SP","04876-786","Бразилия"
10653,"Frankenversand","Белова, Мария",02-09-1997,30-09-1997,19-09-1997,"Ространс","93,25р.","Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10654,"Berglunds snabbkop","Кротов, Андрей",02-09-1997,30-09-1997,11-09-1997,"Ространс","55,26р.","Berglunds snabbkop","Berguvsvagen  8","Лулео",,"S-958 22","Швеция"
10655,"Reggiani Caseifici","Белова, Мария",03-09-1997,01-10-1997,11-09-1997,"Почта","4,41р.","Reggiani Caseifici","Strada Provinciale 124","Реджио-Эмилио",,"42100","Италия"
10656,"Great Lakes Food Market","Акбаев, Иван",04-09-1997,02-10-1997,10-09-1997,"Ространс","57,15р.","Great Lakes Food Market","2732 Baker Blvd.","Юджин","OR","97403","США"
10657,"Save-a-lot Markets","Новиков, Павел",04-09-1997,02-10-1997,15-09-1997,"Почта","352,69р.","Save-a-lot Markets","187 Suffolk Ln.","Буа","ID","83720","США"
10658,"QUICK-Stop","Воронова, Дарья",05-09-1997,03-10-1997,08-09-1997,"Ространс","364,15р.","QUICK-Stop","Taucherstrasse 10","Кюневальд",,"01307","Германия"
10659,"Queen Cozinha","Кралев, Петр",05-09-1997,03-10-1997,10-09-1997,"Почта","105,81р.","Queen Cozinha","Alameda dos Canarios, 891","Сан-Пауло","SP","05487-020","Бразилия"
10660,"Hungry Coyote Import Store","Крылова, Анна",08-09-1997,06-10-1997,15-10-1997,"Ространс","111,29р.","Hungry Coyote Import Store","City Center Plaza
516 Main St.","Элгин","OR","97827","США"
10661,"Hungry Owl All-Night Grocers","Кралев, Петр",09-09-1997,07-10-1997,15-09-1997,"Иное","17,55р.","Hungry Owl All-Night Grocers","8 Johnstown Road","Корк","Co. Cork",,"Ирландия"
10662,"Lonesome Pine Restaurant","Бабкина, Ольга",09-09-1997,07-10-1997,18-09-1997,"Почта","1,28р.","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Портленд","OR","97219","США"
10663,"Bon app'","Новиков, Павел",10-09-1997,24-09-1997,03-10-1997,"Почта","113,15р.","Bon app'","12, rue des Bouchers","Марсель",,"13008","Франция"
10664,"Furia Bacalhau e Frutos do Mar","Белова, Мария",10-09-1997,08-10-1997,19-09-1997,"Иное","1,27р.","Furia Bacalhau e Frutos do Mar","Jardim das rosas n. 32","Лиссабон",,"1675","Португалия"
10665,"Lonesome Pine Restaurant","Белова, Мария",11-09-1997,09-10-1997,17-09-1997,"Почта","26,31р.","Lonesome Pine Restaurant","89 Chiaroscuro Rd.","Портленд","OR","97219","США"
10666,"Richter Supermarkt","Кралев, Петр",12-09-1997,10-10-1997,22-09-1997,"Почта","232,42р.","Richter Supermarkt","Starenweg 5","Женева",,"1204","Швейцария"
10667,"Ernst Handel","Кралев, Петр",12-09-1997,10-10-1997,19-09-1997,"Ространс","78,09р.","Ernst Handel","Kirchgasse 6","Грасс",,"8010","Австрия"
10668,"Die Wandernde Kuh","Белова, Мария",15-09-1997,13-10-1997,23-09-1997,"Почта","47,22р.","Die Wandernde Kuh","Adenauerallee 900","Штутгарт",,"70563","Германия"
10669,"Simons bistro","Новиков, Павел",15-09-1997,13-10-1997,22-09-1997,"Ространс","24,39р.","Simons bistro","Vinbaeltet 34","Копенгаген",,"1734","Дания"
10670,"Frankenversand","Воронова, Дарья",16-09-1997,14-10-1997,18-09-1997,"Ространс","203,48р.","Frankenversand","Berliner Platz 43","Мюнхен",,"80805","Германия"
10671,"France restauration","Белова, Мария",17-09-1997,15-10-1997,24-09-1997,"Ространс","30,34р.","France restauration","54, rue Royale","Нант",,"44000","Франция"
